company_name,ticker,email,context,context_2,company_address,company_phone,company_website,CFO_name
Gilat Satellite Network ,GILT,hagayk@gilat.com,"Contact: Gilat Satellite Networks Hagay Katz, Chief Products and Marketing Officer",,Gilat House 21 Yegia Kapayim Street Kiryat Arye Petah Tikva 4913020 Israel,972 3 925 2000,https://www.gilat.com,Mr. Gil  Benyamini
Gilat Satellite Network ,GILT,ehud@ekgir.com,"EK Global IR Ehud Helft, Managing Partner","EK Global IR Ehud Helft, Managing Partner ehud@ekgir.com",Gilat House 21 Yegia Kapayim Street Kiryat Arye Petah Tikva 4913020 Israel,972 3 925 2000,https://www.gilat.com,Mr. Gil  Benyamini
Creative Realities ,CREX,dean@ldmicro.com,Please reach out to the company representative below or Dean Summers ( ) to register for the event and schedule a meeting with the company.,,"13100 Magisterial Drive Suite 100 Louisville, KY 40223 United States",502 791 8800,https://www.cri.com,Mr. William Lindsey Logan IV
Creative Realities ,CREX,rick.mills@cri.com,Rick Mills CEO 502-500-9520 rick.mills@cri.com www.cri.com,,"13100 Magisterial Drive Suite 100 Louisville, KY 40223 United States",502 791 8800,https://www.cri.com,Mr. William Lindsey Logan IV
GoHealth ,GOCO,Pressinquiries@gohealth.com,,Media Relations,"222 West Merchandise Mart Plaza Suite 1750 Chicago, IL 60654 United States",312 386 8200,https://www.gohealth.com,Mr. Jason  Schulz
GoHealth ,GOCO,jshave@gohealth.com,Investor Relations John Shave,Investor Relations John Shave,"222 West Merchandise Mart Plaza Suite 1750 Chicago, IL 60654 United States",312 386 8200,https://www.gohealth.com,Mr. Jason  Schulz
Mama's Creations Inc ,MAMA,editorial-team@simplywallst.com,,,"25 Branca Road East Rutherford, NJ 07073 United States",201 531 1212,https://www.mamascreations.com,Mr. Anthony J. Gruber
Lightwave Logic ,LWLG,LWLG@mzgroup.us,Lucas A. Zimmerman Managing Director MZ Group - MZ North America 949-259-4987 www.mzgroup.us,,"369 Inverness Parkway Suite 350 Englewood, CO 80112 United States",720 340 4949,https://lightwavelogic.com,
Lightwave Logic ,LWLG,NA-editorial@proactiveinvestors.com,"Vancouver, Canada --News Direct-- Lightwave Logic Inc Lightwave Logic CEO Michael Lebby joined Steve Darling from Proactive to shared significant developments at the company, highlighting its pioneering work in electro-optic (EO) polymers for data transmission. Firstly, Lebby announced that the United States Patent and Trademark Office has issued a patent for a process that enhances the stability and performance of Lightwave Logic's EO chromophores. These chromophores are essential components of the company's platform, which utilizes engineered EO polymers to transmit data at higher speeds and lower power consumption, all within a compact form factor. Lebby expressed confidence that this patent addition to their portfolio will facilitate more commercial license deals for their EO polymers, particularly with high-volume manufacturing silicon foundries and 200mm silicon wafers. Lebby emphasized that Lightwave Logic is at the forefront of developing EO polymers for data transmission, similar to organic materials used in OLED displays. These polymers enable the high-speed switching of light, primarily benefiting data centers, telecommunications networks, and the broader internet. The company's focus is on meeting the increasing demand for faster data transmission and lower energy consumption, driven by the rise of artificial intelligence and the consequent need for enhanced computational power in data centers. Furthermore, Lightwave Logic recently participated in the Optical Fiber Conference (OFC), showcasing its technological advancements, including a record-setting 200 gigabits per second data transmission at low voltages. The company has also been securing patents to protect its innovative technology, with the latest patent related to its ""diamond I"" technology formulation. Overall, Lightwave Logic aims to make its EO polymers as ubiquitous as organic LEDs in displays by engaging with a broad range of customers for licensing and usage in their devices. The company's strategy involves demonstrating the superiority of its technology to meet the urgent need for network upgrades in the data center industry, driven by the demands of generative artificial intelligence. Story continues Contact Details Proactive North America Proactive North America +1 604-688-8158 NA-editorial@proactiveinvestors.com View source version on newsdirect.com:  https://newsdirect.com/news/lightwave-logic-leads-the-way-in-electro-optic-polymer-technology-for-enhanced-data-transmission-596936007",,"369 Inverness Parkway Suite 350 Englewood, CO 80112 United States",720 340 4949,https://lightwavelogic.com,
Vox Royalty ,VOXR,pascal@voxroyalty.com,+1-345-815-3939,,"66 Wellington Street West Suite 5300 TD Bank Tower Box 48 Toronto, ON M5K 1E6 Canada",345 815 3939,https://www.voxroyalty.com,"Mr. Pascal  Attard CA, CPA"
